Al,As,Ba,bc,Br,Ca,Cl,Cr,Cu,Fe,K,Mn,Ni,Pb,S,Se,Si,Ti,V,Zn
0.0316,0,0.0129,0.83605972,0.0014,0.0279,0.0048,-1,0.0044,-1,0.0163,5e-4,0.0011,0.0043,0.8142,0.0036,0.0548,0.0027,0.0014,0.0167
0.0158,0,0.001,0.19275208,0.0022,0.0101,-1,1e-4,-1,0.0125,0.01,-1,0.0012,-1,0.293,0,0.0125,0.0029,5e-4,0.0048
0.0137,-1,0.0015,0.19113889,-1,0.0122,1e-4,2e-4,0,0.0349,0.0178,0,0.0048,-1,0.4358,0,0.0129,2e-4,0.0113,0.0046
0.0319,0,0.0083,0.82490278,3e-4,0.0206,0.0105,5e-4,0.0072,0.074,0.0199,0,0.0025,-1,1.0472,0.0016,0.0428,0.0018,0.0025,0.0059
0.0277,0,-1,0.98669444,-1,0.0165,0.0014,8e-4,5e-4,0.0493,0.0171,0,0.0017,0.0046,1.1961,0.0015,0.0372,0.0019,0.0019,0.007
0.0595,0,0.0345,0.75109722,6e-4,0.0238,0.0066,4e-4,0.0051,0.0708,-1,0,0.0018,0.0053,2.1839,0.0039,0.049,0.0028,0.0018,0.0148
0.0198,0,-1,1.08103472,0,0.0229,0.0048,3e-4,-1,0.0575,0.0296,0,0.001,0.002,0.6578,0,0.0633,0.0029,-1,0.0865
0.0367,-1,0.0238,1.01708611,0.0022,0.0209,0.0029,0.001,0.0016,0.0521,0.0334,0,0.0033,0.0099,1.7742,0,0.0487,0.0023,-1,0.0073
0.0208,7e-4,0.0055,-1,-1,0.014,0,6e-4,0.0019,0.0218,0.0163,0,0.0013,0.0082,0.5854,0,0.0323,0.0024,0.0012,1e-4
0.0459,6e-4,0.0206,0.36922222,0,0.0266,0.0024,6e-4,0.0026,0.0501,0.027,0,0,0.0036,0.4682,0,0.0641,0.0032,6e-4,0.0053
-1,-1,0,0.51095139,0.005,0.0261,0.005,3e-4,-1,0.0575,0.0375,0,0.0014,-1,0.6627,0,-1,0.0037,0,0.0085
0.048,0,0.0128,1.03725174,0.001,0.0298,-1,7e-4,0.0011,0.0673,0.0334,0,0.0045,0.0057,0.781,7e-4,0.0736,0.0048,0.0023,0.008
0.0427,0,0,0.98777604,0,0.0197,0.0014,3e-4,0.0053,0.0591,0.0182,-1,0.0018,-1,2.5484,0,0.019,0.0034,0.0023,0.0097
